exclusive_entry_id,exclusive_group_id,hero_id,skill_id,initial_level,guaranteed,enabled,notes
#中文名:专属条目ID,专属技能组ID,英雄ID,技能ID,初始等级,是否必定获得,是否启用,备注
#types:string,string,string,string,number,boolean,boolean,string
exclusive_doom_01,exclusive_doom,hero_doom,skill_doom_infernal,1,1,1,免费英雄一转激活固定Q槽专属技能。
exclusive_shadow_fiend_01,exclusive_shadow_fiend,hero_shadow_fiend,skill_shadow_fiend_raze,1,1,1,免费英雄一转激活固定Q槽专属技能。
exclusive_axe_01,exclusive_axe,hero_axe,skill_axe_counter_helix,1,1,1,免费英雄一转激活固定Q槽专属技能。
exclusive_drow_01,exclusive_drow_ranger,hero_drow_ranger,skill_drow_companion,1,1,1,免费英雄一转激活固定Q槽专属技能。
exclusive_monkey_01,exclusive_monkey_king,hero_monkey_king,skill_monkey_king_exclusive,1,1,1,
exclusive_monkey_02,exclusive_monkey_king,hero_monkey_king,skill_monkey_king_fury,1,1,1,VIP一转解锁专属技能。
exclusive_monkey_03,exclusive_monkey_king,hero_monkey_king,skill_monkey_king_swiftness,1,1,1,VIP一转解锁专属技能。
exclusive_monkey_04,exclusive_monkey_king,hero_monkey_king,skill_monkey_king_agility,1,1,1,VIP一转解锁专属技能。
exclusive_blademaster_01,exclusive_blademaster,hero_blademaster,skill_blademaster_exclusive,1,1,1,
exclusive_blademaster_02,exclusive_blademaster,hero_blademaster,skill_blademaster_agility,1,1,1,VIP一转解锁专属技能。
exclusive_blademaster_03,exclusive_blademaster,hero_blademaster,skill_blademaster_swiftness,1,1,1,VIP一转解锁专属技能。
exclusive_blademaster_04,exclusive_blademaster,hero_blademaster,skill_blademaster_mobility,1,1,1,VIP一转解锁专属技能。
