skill_id,ability_name,display_name,description,skill_type,max_level,base_weight,is_public,exclusive_hero_id,vip_only,effect_type,effect_value_per_level,icon_name,enabled,notes
#中文名:技能ID,技能名称ID,显示名称,描述,技能类型,最高等级,基础权重,是否公共技能,专属英雄ID,仅限VIP,效果类型,每级效果数值,图标名称,是否启用,备注
#types:string,string,string,string,enum,number,number,boolean,string,boolean,enum,number,string,boolean,string
proto_flame_burst,,炎爆震击·被动,主攻击命中时概率触发的三围范围伤害。,passive,3,100,1,,0,passive_proc,,lina_dragon_slave,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_frost_nova,,冰霜新星·被动,主攻击命中时概率触发的三围范围伤害与控制。,passive,3,100,1,,0,passive_proc,,crystal_maiden_crystal_nova,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_chain_lightning,,雷霆连锁·被动,主攻击命中时概率连锁不同目标。,passive,3,100,1,,0,passive_proc,,zuus_arc_lightning,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_poison_cloud,,毒云·被动,主攻击命中时概率生成持续毒云。,passive,3,100,1,,0,passive_proc,,viper_nethertoxin,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_blade_nova,,剑刃震荡·被动,主攻击命中时概率对英雄周围造成伤害。,passive,3,100,1,,0,passive_proc,,juggernaut_blade_fury,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_earth_line,,地裂冲击·被动,主攻击命中时概率产生直线地裂。,passive,3,100,1,,0,passive_proc,,earthshaker_fissure,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_meteor,,陨石坠落·被动,主攻击命中时概率延迟轰击记录位置。,passive,3,100,1,,0,passive_proc,,invoker_chaos_meteor,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_arcane_barrage,,奥术弹幕·被动,主攻击命中时概率攻击多个不同目标。,passive,3,100,1,,0,passive_proc,,skywrath_mage_arcane_bolt,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_shadow_blast,,暗影爆裂·被动,主攻击直接击杀时概率触发。,passive,3,100,1,,0,passive_proc,,nevermore_shadowraze1,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_holy_pulse,,圣光震荡·被动,主攻击命中时概率对英雄周围造成伤害。,passive,3,100,1,,0,passive_proc,,omniknight_purification,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_ice_cone,,寒冰锥·被动,主攻击命中时概率产生锥形三围伤害。,passive,3,100,1,,0,passive_proc,,drow_ranger_wave_of_silence,1,运行时效果见config/hero_passive_skill_definitions.lua。
proto_void_pulse,,虚空震爆·被动,主攻击命中时概率产生中心强化的范围伤害。,passive,3,100,1,,0,passive_proc,,faceless_void_time_dilation,1,运行时效果见config/hero_passive_skill_definitions.lua。
skill_axe_exclusive,ability_survival_axe_exclusive,斧王专属：战意,每级增加攻击伤害。,passive,3,0,0,hero_axe,0,pre_attack_damage,20,axe_counter_helix,1,英雄初始专属技能；统一最高3级。
skill_slark_exclusive,ability_survival_slark_exclusive,斯拉克专属：猎杀,每级增加攻击速度。,passive,3,0,0,hero_slark,0,attack_speed_bonus,30,slark_essence_shift,1,英雄初始专属技能；统一最高3级。
skill_juggernaut_exclusive,ability_survival_juggernaut_exclusive,主宰专属：剑意,每级增加敏捷。,passive,3,0,0,hero_juggernaut,0,agility_bonus,10,juggernaut_blade_dance,1,英雄初始专属技能；统一最高3级。
skill_monkey_king_exclusive,ability_survival_monkey_king_exclusive,齐天大圣专属：如意,每级增加攻击距离。,passive,3,0,0,hero_monkey_king,1,attack_range_bonus,100,monkey_king_jingu_mastery,1,VIP英雄初始专属技能；统一最高3级。
skill_blademaster_exclusive,ability_survival_blademaster_exclusive,剑圣专属：无双剑意,每级增加攻击伤害。,passive,3,0,0,hero_blademaster,1,pre_attack_damage,28,sven_gods_strength,1,VIP英雄初始专属技能；统一最高3级。
