modifier_key,asset_id,modifier_name,sort_order,enabled,notes
#中文名:动作修饰记录键,资源ID,动作修饰名,排序,是否启用,备注
#types:string,string,string,number,boolean,string
challenge_monster_primal_beast_svarog:less_brow,challenge_monster_primal_beast_svarog,less_brow,1,1,Svarog头部官方动作修饰。
challenge_monster_terrorblade_fractal_horns:abysm,challenge_monster_terrorblade_fractal_horns,abysm,1,1,Fractal Horns官方Arcana动作修饰。
hero_permanent_hero_blademaster:arcana,hero_permanent_hero_blademaster,arcana,1,1,剑心之遗官方动作修饰。
hero_permanent_hero_blademaster:arcana_style,hero_permanent_hero_blademaster,arcana_style,2,1,剑心之遗官方样式动作修饰。
hero_permanent_hero_blademaster:red,hero_permanent_hero_blademaster,red,3,1,剑心之遗起源红色样式动作修饰。
monster_wave_golem_gray_small:tactician,monster_wave_golem_gray_small,tactician,1,1,维齐尔流犯著作官方动作修饰
monster_wave_armored_horned_large:tier_2,monster_wave_armored_horned_large,tier_2,1,1,金辉暴君官方动作修饰
monster_wave_stitcher_large:aberrant_observer,monster_wave_stitcher_large,aberrant_observer,1,1,畸变观察者官方动作修饰
monster_wave_golem_green_fire:necro_plague_doctor,monster_wave_golem_green_fire,necro_plague_doctor,1,1,腐铁开膛手官方动作修饰
monster_wave_boss_twinblade_demon:abysm,monster_wave_boss_twinblade_demon,abysm,1,1,心渊魔角官方动作修饰
