effect_key,asset_id,effect_group_id,effect_id,effect_role,skill_id,phase,particle_path,owner_component_id,attach_type,attachment_point,control_profile,delay_seconds,sort_order,enabled,notes
#中文名:特效记录键,资源ID,特效组合ID,特效ID,特效角色,技能ID,阶段,粒子路径,所属组件ID,挂载类型,挂点,控制点配置,延迟秒数,排序,是否启用,备注
#types:string,string,string,string,enum,string,enum,string,string,string,string,string,number,number,boolean,string
tower_multi_medusa_anamnessa:attack_projectile,tower_multi_medusa_anamnessa,default_attack,attack_projectile,attack_projectile,,travel,particles/units/heroes/hero_medusa/medusa_base_attack.vpcf,,projectile,,,,1,1,Medusa 官方普通攻击及分裂箭弹道。
tower_multi_drow_dread_retribution:attack_projectile,tower_multi_drow_dread_retribution,default_attack,attack_projectile,attack_projectile,,travel,particles/econ/items/drow/drow_arcana/drow_arcana_frost_arrow.vpcf,,projectile,,,,1,1,Drow Arcana Frost Arrow 普通攻击弹道。
tower_multi_drow_dread_retribution:attack_hit,tower_multi_drow_dread_retribution,default_attack,attack_hit,attack_hit,,hit,particles/econ/items/drow/drow_arcana/drow_arcana_frost_arrow_debuff.vpcf,,PATTACH_ABSORIGIN_FOLLOW,,,,2,1,Drow Arcana Frost Arrow 命中特效。
tower_multi_drow_dread_retribution:ambient_arms,tower_multi_drow_dread_retribution,ambient,ambient_arms,ambient,,persistent,particles/econ/items/drow/drow_arcana/drow_arcana_arm_ambient.vpcf,,PATTACH_ABSORIGIN_FOLLOW,,,,1,1,Drow Arcana 手臂常驻特效；阶段一保持旧配置并绑定塔主体。
tower_multi_drow_dread_retribution:ambient_weapon,tower_multi_drow_dread_retribution,ambient,ambient_weapon,ambient,,persistent,particles/econ/items/drow/drow_arcana/drow_arcana_weapon_ambient.vpcf,,PATTACH_ABSORIGIN_FOLLOW,,,,2,1,Drow Arcana 武器常驻特效；阶段一保持旧配置并绑定塔主体。
tower_multi_drow_dread_retribution:ambient_body,tower_multi_drow_dread_retribution,ambient,ambient_body,ambient,,persistent,particles/econ/items/drow/drow_arcana/drow_arcana_ambient.vpcf,,PATTACH_ABSORIGIN_FOLLOW,,,,3,1,Drow Arcana 主体常驻特效。
tower_multi_vengeful_shen_screeauk:attack_projectile,tower_multi_vengeful_shen_screeauk,default_attack,attack_projectile,attack_projectile,,travel,particles/econ/items/vengeful/vengeful_arcana/vengeful_arcana_base_attack_v2.vpcf,,projectile,,,,1,1,Vengeful Arcana 官方普通攻击及分裂箭弹道。
tower_multi_vengeful_shen_screeauk:burning_wave,tower_multi_vengeful_shen_screeauk,burning_great_arrow,burning_wave,skill_projectile,burning_great_arrow_lv01,travel,particles/econ/items/vengeful/vengeful_arcana/vengeful_arcana_wave_of_terror_v2.vpcf,,projectile,,wave_of_terror,,1,1,炙热巨箭使用的 Wave of Terror 线性投射物特效。
