wearable_key,asset_id,item_def,hero_unit_name,slot,model_path,sort_order,enabled,entity_class,attach_mode,notes
#中文名:穿戴记录键,资源ID,物品定义,英雄单位名,槽位,模型路径,排序,是否启用,实体类型,挂载方式,备注
#types:string,string,string,string,string,string,number,boolean,string,enum,string
death_templar_assassin_armor,tower_death_templar_assassin,28624,npc_dota_hero_templar_assassin,armor,models/items/lanaya/templar_assasin_false_devotion_armor/templar_assasin_false_devotion_armor.vmdl,1,1,prop_dynamic,bone_merge,暗刃高手护甲；本机items_game.txt核对
death_templar_assassin_head,tower_death_templar_assassin,28735,npc_dota_hero_templar_assassin,head,models/items/lanaya/templar_assasin_false_devotion_head/templar_assasin_false_devotion_head.vmdl,2,1,prop_dynamic,bone_merge,暗刃高手头部；本机items_game.txt核对
death_templar_assassin_shoulder,tower_death_templar_assassin,28736,npc_dota_hero_templar_assassin,shoulder,models/items/lanaya/templar_assasin_false_devotion_shoulder/templar_assasin_false_devotion_shoulder.vmdl,3,1,prop_dynamic,bone_merge,暗刃高手肩部；本机items_game.txt核对
death_templar_assassin_weapon,tower_death_templar_assassin,28738,npc_dota_hero_templar_assassin,weapon,models/items/lanaya/templar_assasin_false_devotion_weapon/templar_assasin_false_devotion_weapon.vmdl,4,1,prop_dynamic,bone_merge,暗刃高手武器；本机items_game.txt核对
death_wraith_king_arms,tower_death_nevermore_sundered_souls,28604,npc_dota_hero_skeleton_king,arms,models/items/wraith_king/wraith_king_darkfeather_tyrant_arms/wraith_king_darkfeather_tyrant_arms.vmdl,1,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Arms
death_wraith_king_armor,tower_death_nevermore_sundered_souls,28626,npc_dota_hero_skeleton_king,armor,models/items/wraith_king/wraith_king_darkfeather_tyrant_armor/wraith_king_darkfeather_tyrant_armor.vmdl,2,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Armor
death_wraith_king_back,tower_death_nevermore_sundered_souls,28628,npc_dota_hero_skeleton_king,back,models/items/wraith_king/wraith_king_darkfeather_tyrant_back/wraith_king_darkfeather_tyrant_back.vmdl,3,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Back
death_wraith_king_head,tower_death_nevermore_sundered_souls,28629,npc_dota_hero_skeleton_king,head,models/items/wraith_king/wraith_king_darkfeather_tyrant_head/wraith_king_darkfeather_tyrant_head.vmdl,4,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Helm
death_wraith_king_shoulder,tower_death_nevermore_sundered_souls,28630,npc_dota_hero_skeleton_king,shoulder,models/items/wraith_king/wraith_king_darkfeather_tyrant_shoulder/wraith_king_darkfeather_tyrant_shoulder.vmdl,5,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Shoulder
death_wraith_king_weapon,tower_death_nevermore_sundered_souls,28631,npc_dota_hero_skeleton_king,weapon,models/items/wraith_king/wraith_king_darkfeather_tyrant_weapon/wraith_king_darkfeather_tyrant_weapon.vmdl,6,1,prop_dynamic,bone_merge,Tyrant of the Veil 异界暴君 Weapon
