level_id,level,health,war3_armor,war3_minimum_armor,enabled,source,notes
#types:string,number,number,number,number,boolean,string,string
tree_lv001,1,100000,-2,-2,1,大树.csv,LV1血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv002,2,103000,5,5,1,大树.csv,LV2血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv003,3,203000,10,10,1,大树.csv,LV3血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv004,4,303000,15,15,1,大树.csv,LV4血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv005,5,403000,20,20,1,大树.csv,LV5血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv006,6,503000,25,25,1,大树.csv,LV6血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv007,7,603000,30,30,1,大树.csv,LV7血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv008,8,703000,35,35,1,大树.csv,LV8血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv009,9,803000,40,40,1,大树.csv,LV9血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv010,10,1803000,90,5,1,大树.csv,LV10血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv011,11,2803000,95,5,1,大树.csv,LV11血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv012,12,3803000,100,99,1,大树.csv,LV12血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv013,13,4803000,105,99,1,大树.csv,LV13血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv014,14,5803000,110,99,1,大树.csv,LV14血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv015,15,6803000,115,99,1,大树.csv,LV15血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv016,16,7803000,120,99,1,大树.csv,LV16血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv017,17,8803000,125,99,1,大树.csv,LV17血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv018,18,9803000,130,99,1,大树.csv,LV18血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv019,19,10803000,135,99,1,大树.csv,LV19血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
