level_id,level,model_asset_id,model_scale,model_yaw,enabled,notes
#中文名:等级ID,城墙等级,模型资源ID,模型缩放,模型偏航角,是否启用,备注
#types:string,number,string,number,number,boolean,string
wall_visual_lv01,1,wall_reference_wall_lv01,1.0,180,1,原木城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv02,2,wall_reference_wall_lv01,1.0,180,1,原木城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv03,3,wall_reference_wall_lv01,1.0,180,1,原木城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv04,4,wall_reference_wall_lv02,1.0,180,1,木石城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv05,5,wall_reference_wall_lv02,1.0,180,1,木石城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv06,6,wall_reference_wall_lv02,1.0,180,1,木石城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv07,7,wall_reference_wall_lv03,1.0,180,1,青石城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv08,8,wall_reference_wall_lv03,1.0,180,1,青石城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv09,9,wall_reference_wall_lv03,1.0,180,1,青石城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv10,10,wall_reference_wall_lv04,1.0,180,1,青铜城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv11,11,wall_reference_wall_lv04,1.0,180,1,青铜城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv12,12,wall_reference_wall_lv04,1.0,180,1,青铜城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv13,13,wall_reference_wall_lv05,1.0,180,1,苍蓝城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv14,14,wall_reference_wall_lv05,1.0,180,1,苍蓝城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv15,15,wall_reference_wall_lv05,1.0,180,1,苍蓝城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv16,16,wall_reference_wall_lv06,1.0,180,1,碧玉城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv17,17,wall_reference_wall_lv06,1.0,180,1,碧玉城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv18,18,wall_reference_wall_lv06,1.0,180,1,碧玉城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv19,19,wall_reference_wall_lv07,1.0,180,1,赤铜城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv20,20,wall_reference_wall_lv07,1.0,180,1,赤铜城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv21,21,wall_reference_wall_lv07,1.0,180,1,赤铜城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv22,22,wall_reference_wall_lv08,1.0,180,1,紫晶城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv23,23,wall_reference_wall_lv08,1.0,180,1,紫晶城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv24,24,wall_reference_wall_lv08,1.0,180,1,紫晶城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv25,25,wall_reference_wall_lv09,1.0,180,1,白金城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv26,26,wall_reference_wall_lv09,1.0,180,1,白金城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv27,27,wall_reference_wall_lv09,1.0,180,1,白金城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv28,28,wall_reference_wall_lv10,1.0,180,1,天辉晶冠城墙·Ⅰ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv29,29,wall_reference_wall_lv10,1.0,180,1,天辉晶冠城墙·Ⅱ；每3级一个外观；4×4格；保留原朝向。
wall_visual_lv30,30,wall_reference_wall_lv10,1.0,180,1,天辉晶冠城墙·Ⅲ；每3级一个外观；4×4格；保留原朝向。
