id,x,y,width,height,file,enabled
pool_details_icon,61,856,32,39,01_exact_crops/pool_details_icon.png,True
pool_details_entry,60,851,153,46,01_exact_crops/pool_details_entry.png,True
history_icon,265,854,37,43,01_exact_crops/history_icon.png,True
history_entry,262,851,159,47,01_exact_crops/history_entry.png,True
skip_checkbox,618,865,33,33,01_exact_crops/skip_checkbox.png,True
skip_entry,617,861,150,39,01_exact_crops/skip_entry.png,True
modal_close,1194,185,39,43,01_exact_crops/modal_close.png,True
screen_close,1599,24,43,41,01_exact_crops/screen_close.png,True
single_button,971,831,310,73,01_exact_crops/single_button.png,True
ten_button,1295,831,319,73,01_exact_crops/ten_button.png,True
single_ticket,1039,841,45,52,01_exact_crops/single_ticket.png,True
ten_ticket,1379,841,47,52,01_exact_crops/ten_ticket.png,True
single_caption,1064,901,170,25,01_exact_crops/single_caption.png,True
ten_caption,1380,901,182,25,01_exact_crops/ten_caption.png,True
currency_ticket,1371,21,53,47,01_exact_crops/currency_ticket.png,True
currency_bar,1369,20,198,51,01_exact_crops/currency_bar.png,True
currency_plus,1540,29,22,33,01_exact_crops/currency_plus.png,True
purchase_link,1424,74,143,33,01_exact_crops/purchase_link.png,True
promotion_link,1395,106,241,35,01_exact_crops/promotion_link.png,True
page_logo,3,0,105,108,01_exact_crops/page_logo.png,True
page_title,114,24,137,42,01_exact_crops/page_title.png,True
announcement,155,253,145,40,01_exact_crops/announcement.png,True
pool_modal,415,162,843,617,01_exact_crops/pool_modal.png,True
modal_title,764,189,155,47,01_exact_crops/modal_title.png,True
title_ornament_left,668,192,66,34,01_exact_crops/title_ornament_left.png,True
title_ornament_right,940,192,67,34,01_exact_crops/title_ornament_right.png,True
pool_tab_selected,439,249,199,57,01_exact_crops/pool_tab_selected.png,True
pool_tab_second,638,249,203,57,01_exact_crops/pool_tab_second.png,True
pool_tab_third,841,249,194,57,01_exact_crops/pool_tab_third.png,True
pool_tab_fourth,1035,249,199,57,01_exact_crops/pool_tab_fourth.png,True
pool_tab_gold_line,438,289,201,24,01_exact_crops/pool_tab_gold_line.png,True
pool_tab_diamond,529,292,21,22,01_exact_crops/pool_tab_diamond.png,True
card_cell,465,328,167,157,01_exact_crops/card_cell.png,True
card_medallion,481,343,137,109,01_exact_crops/card_medallion.png,True
card_label,498,453,105,28,01_exact_crops/card_label.png,True
scroll_track,1217,328,13,316,01_exact_crops/scroll_track.png,True
scroll_thumb,1217,328,13,128,01_exact_crops/scroll_thumb.png,True
rules_note,575,667,507,33,01_exact_crops/rules_note.png,True
guarantee_pill,658,700,354,55,01_exact_crops/guarantee_pill.png,True
modal_corner_tl,415,162,44,44,01_exact_crops/modal_corner_tl.png,True
modal_corner_tr,1212,162,44,44,01_exact_crops/modal_corner_tr.png,True
modal_corner_bl,415,734,44,44,01_exact_crops/modal_corner_bl.png,True
modal_corner_br,1212,734,44,44,01_exact_crops/modal_corner_br.png,True
main_pool_tab,329,20,151,62,01_exact_crops/main_pool_tab.png,True
main_badge,565,11,82,34,01_exact_crops/main_badge.png,True
legacy_sidebar_archive,43,177,48,76,01_exact_crops/legacy_sidebar_archive.png,False
legacy_sidebar_building,43,284,47,79,01_exact_crops/legacy_sidebar_building.png,False
legacy_sidebar_lottery,20,387,94,108,01_exact_crops/legacy_sidebar_lottery.png,False
legacy_sidebar_bag,45,532,46,77,01_exact_crops/legacy_sidebar_bag.png,False
